?cls	?pred	?val	?synType
<http://vivoweb.org/ontology/core#AcademicYear>	<http://www.w3.org/2000/01/rdf-schema#label>	"Academic Year"@en	
<http://purl.org/ontology/bibo/LegalCaseDocument>	<http://www.w3.org/2000/01/rdf-schema#label>	"Legal Case Document"@en	
<http://purl.obolibrary.org/obo/ERO_0000595>	<http://www.w3.org/2000/01/rdf-schema#label>	"Research Opportunity"@en	
<http://www.w3.org/2006/vcard/ns#Type>	<http://www.w3.org/2000/01/rdf-schema#label>	"Type"@en	
<http://www.w3.org/2006/vcard/ns#Kin>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kin"@en	
<http://purl.obolibrary.org/obo/ARG_2000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"Expertise Measurement Process"@en	
<http://www.w3.org/2006/vcard/ns#Name>	<http://www.w3.org/2000/01/rdf-schema#label>	"Name"@en	
<http://vivoweb.org/ontology/core#University>	<http://www.w3.org/2000/01/rdf-schema#label>	"University"@en	
<http://purl.obolibrary.org/obo/OBI_0000272>	<http://www.w3.org/2000/01/rdf-schema#label>	"Protocol"@en	
<http://purl.obolibrary.org/obo/ERO_0001255>	<http://www.w3.org/2000/01/rdf-schema#label>	"Support Service"@en	
<http://www.w3.org/2006/vcard/ns#Address>	<http://www.w3.org/2000/01/rdf-schema#label>	"Address"@en	
<http://vivoweb.org/ontology/core#Authorship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Authorship"@en	
<http://vivoweb.org/ontology/core#EmeritusLibrarian>	<http://www.w3.org/2000/01/rdf-schema#label>	"Librarian Emeritus"@en	
<http://vivoweb.org/ontology/core#FacultyMember>	<http://www.w3.org/2000/01/rdf-schema#label>	"Faculty Member"@en	
<http://vivoweb.org/ontology/core#Competition>	<http://www.w3.org/2000/01/rdf-schema#label>	"Competition"@en	
<http://purl.org/ontology/bibo/Document>	<http://www.w3.org/2000/01/rdf-schema#label>	"Document"@en	
<http://purl.obolibrary.org/obo/ERO_0001245>	<http://www.w3.org/2000/01/rdf-schema#label>	"Licensing"@en	
<http://purl.org/ontology/bibo/Patent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Patent"@en	
<http://www.w3.org/2006/vcard/ns#Photo>	<http://www.w3.org/2000/01/rdf-schema#label>	"Photo"@en	
<http://www.w3.org/2006/vcard/ns#Group>	<http://www.w3.org/2000/01/rdf-schema#label>	"Group"@en	
<http://vivoweb.org/ontology/core#Publisher>	<http://www.w3.org/2000/01/rdf-schema#label>	"Publisher"@en	
<http://purl.obolibrary.org/obo/ERO_0000392>	<http://www.w3.org/2000/01/rdf-schema#label>	"Storage Service"@en	
<http://purl.obolibrary.org/obo/ARG_2000010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Topic Weight Measurement Process"@en	
<http://www.w3.org/2006/vcard/ns#TextPhone>	<http://www.w3.org/2000/01/rdf-schema#label>	"Text Phone"@en	
<http://vivoweb.org/ontology/core#School>	<http://www.w3.org/2000/01/rdf-schema#label>	"School"@en	
<http://purl.org/ontology/bibo/Quote>	<http://www.w3.org/2000/01/rdf-schema#label>	"Quote"@en	
<http://vivoweb.org/ontology/core#ReviewerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reviewer Role"@en	
<http://purl.obolibrary.org/obo/ERO_0000565>	<http://www.w3.org/2000/01/rdf-schema#label>	"Technology Transfer Office"@en	
<http://www.w3.org/2006/vcard/ns#Voice>	<http://www.w3.org/2000/01/rdf-schema#label>	"Voice"@en	
<http://purl.obolibrary.org/obo/IAO_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"Action Specification"@en	
<http://purl.obolibrary.org/obo/VIVOTEST_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"root node"@en	
<http://vivoweb.org/ontology/core#ClinicalRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clinical Role"@en	
<http://xmlns.com/foaf/0.1/Agent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Agent"@en	
<http://xmlns.com/foaf/0.1/Agent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Agent"	
<http://vivoweb.org/ontology/core#EditorialArticle>	<http://www.w3.org/2000/01/rdf-schema#label>	"Editorial Article"@en	
<http://vivoweb.org/ontology/core#GeographicRegion>	<http://www.w3.org/2000/01/rdf-schema#label>	"Geographic Region"@en	
<http://vivoweb.org/ontology/core#EducationalProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"Educational Process"@en	
<http://purl.obolibrary.org/obo/ERO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"Biological Specimen"@en	
<http://purl.obolibrary.org/obo/ERO_0000779>	<http://www.w3.org/2000/01/rdf-schema#label>	"Permanent Resident Role"@en	
<http://purl.org/net/OCRe/study_design.owl#Phase_4>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 4"@en	
<http://vivoweb.org/ontology/core#AdviseeRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Advisee Role"@en	
<http://vivoweb.org/ontology/core#WorkshopSeries>	<http://www.w3.org/2000/01/rdf-schema#label>	"Workshop Series"@en	
<http://vivoweb.org/ontology/core#Newsletter>	<http://www.w3.org/2000/01/rdf-schema#label>	"Newsletter"@en	
<http://purl.obolibrary.org/obo/ERO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"Educator Role"@en	
<http://vivoweb.org/ontology/core#Project>	<http://www.w3.org/2000/01/rdf-schema#label>	"Project"@en	
<http://vivoweb.org/ontology/core#GeopoliticalEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"Geopolitical Entity"@en	
<http://vivoweb.org/ontology/core#ServiceProvidingLaboratory>	<http://www.w3.org/2000/01/rdf-schema#label>	"Service Providing Lab"@en	
<http://purl.obolibrary.org/obo/IAO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"Directive Information Entity"@en	
<http://purl.obolibrary.org/obo/UO_0000280>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rate Unit"@en	
<http://xmlns.com/foaf/0.1/Group>	<http://www.w3.org/2000/01/rdf-schema#label>	"Group"@en	
<http://www.w3.org/2006/vcard/ns#Gender>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gender"@en	
<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spatial Thing"	
<http://vivoweb.org/ontology/core#AdministratorRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Administrator Role"@en	
<http://vivoweb.org/ontology/core#OrganizerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Organizer Role"@en	
<http://vivoweb.org/ontology/core#EventSeries>	<http://www.w3.org/2000/01/rdf-schema#label>	"Event Series"@en	
<http://www.w3.org/2006/vcard/ns#Telephone>	<http://www.w3.org/2000/01/rdf-schema#label>	"Telephone"@en	
<http://purl.obolibrary.org/obo/ERO_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"Material Production Service"@en	
<http://www.w3.org/2006/vcard/ns#TimeZone>	<http://www.w3.org/2000/01/rdf-schema#label>	"Time Zone"@en	
<http://www.w3.org/2006/vcard/ns#Cell>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cell"@en	
<http://purl.org/net/OCRe/study_design.owl#Phase_3>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 3"@en	
<http://vivoweb.org/ontology/core#Blog>	<http://www.w3.org/2000/01/rdf-schema#label>	"Blog"@en	
<http://purl.obolibrary.org/obo/ERO_0001258>	<http://www.w3.org/2000/01/rdf-schema#label>	"Maintenance Service"@en	
<http://purl.org/ontology/bibo/Brief>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brief"@en	
<http://vivoweb.org/ontology/core#Building>	<http://www.w3.org/2000/01/rdf-schema#label>	"Building"@en	
<http://vivoweb.org/ontology/core#CoPrincipalInvestigatorRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Co-Principal Investigator Role"@en	
<http://www.w3.org/2006/vcard/ns#RelatedType>	<http://www.w3.org/2000/01/rdf-schema#label>	"Relation Type"@en	
<http://vivoweb.org/ontology/core#Team>	<http://www.w3.org/2000/01/rdf-schema#label>	"Team"@en	
<http://purl.obolibrary.org/obo/IAO_0000104>	<http://www.w3.org/2000/01/rdf-schema#label>	"Plan Specification"@en	
<http://purl.obolibrary.org/obo/BFO_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"disposition"@en	
<http://purl.obolibrary.org/obo/BFO_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Disposition"@en	
<http://aims.fao.org/aos/geopolitical.owl#disputed>	<http://www.w3.org/2000/01/rdf-schema#label>	"Disputed"@en	
<http://purl.org/ontology/bibo/Note>	<http://www.w3.org/2000/01/rdf-schema#label>	"Note"@en	
<http://vivoweb.org/ontology/core#College>	<http://www.w3.org/2000/01/rdf-schema#label>	"College"@en	
<http://purl.org/ontology/bibo/Newspaper>	<http://www.w3.org/2000/01/rdf-schema#label>	"Newspaper"@en	
<http://vivoweb.org/ontology/core#Division>	<http://www.w3.org/2000/01/rdf-schema#label>	"Division"@en	
<http://vivoweb.org/ontology/core#SubnationalRegion>	<http://www.w3.org/2000/01/rdf-schema#label>	"Subnational Region"@en	
<http://www.w3.org/2006/vcard/ns#Date>	<http://www.w3.org/2000/01/rdf-schema#label>	"Date"@en	
<http://vivoweb.org/ontology/core#EditorRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Editor Role"@en	
<http://purl.obolibrary.org/obo/ERO_0000787>	<http://www.w3.org/2000/01/rdf-schema#label>	"Employee Role"@en	
<http://www.w3.org/2006/vcard/ns#Unknown>	<http://www.w3.org/2000/01/rdf-schema#label>	"Unknown"@en	
<http://purl.obolibrary.org/obo/IAO_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"Measurement Unit Label"@en	
<http://www.w3.org/2006/vcard/ns#Geo>	<http://www.w3.org/2000/01/rdf-schema#label>	"Geo"@en	
<http://purl.obolibrary.org/obo/ARG_2000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"Topic Weight Measurement"@en	
<http://purl.obolibrary.org/obo/BFO_0000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zero-Dimensional Temporal Region"@en	
<http://vivoweb.org/ontology/core#MedicalResidency>	<http://www.w3.org/2000/01/rdf-schema#label>	"Medical Residency"@en	
<http://vivoweb.org/ontology/core#InvestigatorRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Investigator Role"@en	
<http://purl.org/net/OCRe/study_design.owl#OCRE100038>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase"@en	
<http://www.w3.org/2006/vcard/ns#Agent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Agent"@en	
<http://purl.obolibrary.org/obo/ARG_2000379>	<http://www.w3.org/2000/01/rdf-schema#label>	"Contact"@en	
<http://vivoweb.org/ontology/core#ExtensionUnit>	<http://www.w3.org/2000/01/rdf-schema#label>	"Extension Unit"@en	
<http://purl.org/spar/fabio/Comment>	<http://www.w3.org/2000/01/rdf-schema#label>	"Comment"@en	
<http://vivoweb.org/ontology/core#Video>	<http://www.w3.org/2000/01/rdf-schema#label>	"Video"@en	
<http://vivoweb.org/ontology/core#NonAcademic>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-Academic"@en	
<http://purl.org/ontology/bibo/Bill>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bill"@en	
<http://vivoweb.org/ontology/core#Continent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Continent"@en	
<http://vivoweb.org/ontology/core#ClinicalOrganization>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clinical Organization"@en	
<http://vivoweb.org/ontology/core#Committee>	<http://www.w3.org/2000/01/rdf-schema#label>	"Committee"@en	
<http://purl.org/spar/c4o/GlobalCitationCount>	<http://www.w3.org/2000/01/rdf-schema#label>	"Global Citation Count"@en	
<http://purl.obolibrary.org/obo/BFO_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"process"@en	
<http://purl.obolibrary.org/obo/BFO_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"Process"@en	
<http://vivoweb.org/ontology/core#Meeting>	<http://www.w3.org/2000/01/rdf-schema#label>	"Meeting"@en	
<http://vivoweb.org/ontology/core#StateOrProvince>	<http://www.w3.org/2000/01/rdf-schema#label>	"State or Province"@en	
<http://vivoweb.org/ontology/core#Certification>	<http://www.w3.org/2000/01/rdf-schema#label>	"Certification"@en	
<http://purl.obolibrary.org/obo/ERO_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clinical Trial"@en	
<http://vivoweb.org/ontology/core#Library>	<http://www.w3.org/2000/01/rdf-schema#label>	"Library"@en	
<http://vivoweb.org/ontology/scientific-research#Phase3ClinicalTrial>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 3 Clinical Trial"@en	
<http://purl.obolibrary.org/obo/IAO_0000144>	<http://www.w3.org/2000/01/rdf-schema#label>	"Conclusion Textual Entity"@en	
<http://purl.obolibrary.org/obo/ERO_0001716>	<http://www.w3.org/2000/01/rdf-schema#label>	"Database"@en	
<http://vivoweb.org/ontology/core#EmeritusProfessor>	<http://www.w3.org/2000/01/rdf-schema#label>	"Professor Emeritus"@en	
<http://vivoweb.org/ontology/core#DateTimeInterval>	<http://www.w3.org/2000/01/rdf-schema#label>	"Date/Time Interval"@en	
<http://www.w3.org/2006/vcard/ns#Female>	<http://www.w3.org/2000/01/rdf-schema#label>	"Female"@en	
<http://purl.org/ontology/bibo/DocumentStatus>	<http://www.w3.org/2000/01/rdf-schema#label>	"Document Status"@en	
<http://purl.org/ontology/bibo/LegalDocument>	<http://www.w3.org/2000/01/rdf-schema#label>	"Legal Document"@en	
<http://www.w3.org/2006/vcard/ns#CalendarRequest>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar Request"@en	
<http://www.w3.org/2006/vcard/ns#Colleague>	<http://www.w3.org/2000/01/rdf-schema#label>	"Colleague"@en	
<http://purl.org/ontology/bibo/Report>	<http://www.w3.org/2000/01/rdf-schema#label>	"Report"@en	
<http://purl.obolibrary.org/obo/ERO_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reagent"@en	
<http://vivoweb.org/ontology/core#NonFacultyAcademic>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-Faculty Academic"@en	
<http://purl.org/ontology/bibo/AcademicArticle>	<http://www.w3.org/2000/01/rdf-schema#label>	"Academic Article"@en	
<http://purl.org/ontology/bibo/AudioDocument>	<http://www.w3.org/2000/01/rdf-schema#label>	"Audio Document"@en	
<http://purl.obolibrary.org/obo/IAO_0000300>	<http://www.w3.org/2000/01/rdf-schema#label>	"Textual Entity"@en	
<http://purl.obolibrary.org/obo/ERO_0001263>	<http://www.w3.org/2000/01/rdf-schema#label>	"Material Modification Service"@en	
<http://purl.obolibrary.org/obo/ERO_0000776>	<http://www.w3.org/2000/01/rdf-schema#label>	"US Resident Role"@en	
<http://vivoweb.org/ontology/core#EmeritusFaculty>	<http://www.w3.org/2000/01/rdf-schema#label>	"Faculty Member Emeritus"@en	
<http://purl.obolibrary.org/obo/BFO_0000038>	<http://www.w3.org/2000/01/rdf-schema#label>	"One-Dimensional Temporal Region"@en	
<http://purl.org/net/OCRe/study_design.owl#Single_group_study>	<http://www.w3.org/2000/01/rdf-schema#label>	"Single Group Study"@en	
<http://vivoweb.org/ontology/core#CurationProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"Curation Process"@en	
<http://vivoweb.org/ontology/core#PrimaryPosition>	<http://www.w3.org/2000/01/rdf-schema#label>	"Primary Position"@en	
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"Information Content Entity"@en	
<http://vivoweb.org/ontology/core#AdvisingRelationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Advising Relationship"@en	
<http://purl.obolibrary.org/obo/GO_0016301>	<http://www.w3.org/2000/01/rdf-schema#label>	"kinase activity"	
<http://vivoweb.org/ontology/core#AttendingProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"Attending Process"@en	
<http://www.w3.org/2006/vcard/ns#Other>	<http://www.w3.org/2000/01/rdf-schema#label>	"Other"@en	
<http://purl.obolibrary.org/obo/IAO_0000109>	<http://www.w3.org/2000/01/rdf-schema#label>	"Measurement Datum"@en	
<http://www.w3.org/2006/vcard/ns#Neighbor>	<http://www.w3.org/2000/01/rdf-schema#label>	"Neighbor"@en	
<http://vivoweb.org/ontology/core#TeacherRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Teacher Role"@en	
<http://www.w3.org/2006/vcard/ns#Location>	<http://www.w3.org/2000/01/rdf-schema#label>	"Location"@en	
<http://www.w3.org/2006/vcard/ns#Identification>	<http://www.w3.org/2000/01/rdf-schema#label>	"Identification"@en	
<http://purl.obolibrary.org/obo/ERO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"Service"@en	
<http://purl.org/ontology/bibo/Chapter>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chapter"@en	
<http://vivoweb.org/ontology/core#AttendeeRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Attendee Role"@en	
<http://vivoweb.org/ontology/core#Dataset>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dataset"@en	
<http://www.w3.org/2006/vcard/ns#CalendarBusy>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar Busy"@en	
<http://purl.obolibrary.org/obo/BFO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"Role"@en	
<http://purl.obolibrary.org/obo/BFO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"role"@en	
<http://vivoweb.org/ontology/core#Abstract>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abstract"@en	
<http://www.w3.org/2006/vcard/ns#Language>	<http://www.w3.org/2000/01/rdf-schema#label>	"Language"@en	
<http://vivoweb.org/ontology/core#AwardReceipt>	<http://www.w3.org/2000/01/rdf-schema#label>	"Award or Honor Receipt"@en	
<http://purl.org/net/OCRe/study_design.owl#Phase_0>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 0"@en	
<http://vivoweb.org/ontology/core#Country>	<http://www.w3.org/2000/01/rdf-schema#label>	"Country"@en	
<http://www.w3.org/2006/vcard/ns#Security>	<http://www.w3.org/2000/01/rdf-schema#label>	"Security"@en	
<http://www.w3.org/2006/vcard/ns#None>	<http://www.w3.org/2000/01/rdf-schema#label>	"None"@en	
<http://purl.obolibrary.org/obo/ERO_0000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"Research Project"@en	
<http://vivoweb.org/ontology/core#CaseStudy>	<http://www.w3.org/2000/01/rdf-schema#label>	"Case Study"@en	
<http://vivoweb.org/ontology/core#Translation>	<http://www.w3.org/2000/01/rdf-schema#label>	"Translation"@en	
<http://aims.fao.org/aos/geopolitical.owl#economic_region>	<http://www.w3.org/2000/01/rdf-schema#label>	"Economic Region"@en	
<http://vivoweb.org/ontology/core#PresenterRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Presenter Role"@en	
<http://www.w3.org/2006/vcard/ns#Geographical>	<http://www.w3.org/2000/01/rdf-schema#label>	"Geographical"@en	
<http://purl.org/spar/fabio/Erratum>	<http://www.w3.org/2000/01/rdf-schema#label>	"Erratum"@en	
<http://purl.obolibrary.org/obo/ERO_0000784>	<http://www.w3.org/2000/01/rdf-schema#label>	"Undergraduate Student Role"@en	
<http://vivoweb.org/ontology/core#Internship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Internship"@en	
<http://www.w3.org/2006/vcard/ns#Addressing>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addressing"@en	
<http://purl.org/ontology/bibo/Letter>	<http://www.w3.org/2000/01/rdf-schema#label>	"Letter"@en	
<http://www.w3.org/2006/vcard/ns#Male>	<http://www.w3.org/2000/01/rdf-schema#label>	"Male"@en	
<http://vivoweb.org/ontology/core#UndergraduateAdvisingRelationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Undergraduate Advising Relationship"@en	
<http://www.w3.org/2006/vcard/ns#Parent>	<http://www.w3.org/2000/01/rdf-schema#label>	"Parent"@en	
<http://vivoweb.org/ontology/core#PeerReviewerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Peer Reviewer Role"@en	
<http://purl.obolibrary.org/obo/ERO_0000394>	<http://www.w3.org/2000/01/rdf-schema#label>	"Material Processing Service"@en	
<http://purl.obolibrary.org/obo/OBI_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"Planned Process"@en	
<http://purl.org/ontology/bibo/Excerpt>	<http://www.w3.org/2000/01/rdf-schema#label>	"Excerpt"@en	
<http://purl.obolibrary.org/obo/ERO_0000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Software"@en	
<http://vivoweb.org/ontology/core#GovernmentAgency>	<http://www.w3.org/2000/01/rdf-schema#label>	"Government Agency"@en	
<http://www.w3.org/2006/vcard/ns#Sweetheart>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sweetheart"@en	
<http://vivoweb.org/ontology/core#Relationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Relationship"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"Continuant"@en	
<http://purl.obolibrary.org/obo/ERO_0000789>	<http://www.w3.org/2000/01/rdf-schema#label>	"Staff Role"@en	
<http://purl.obolibrary.org/obo/ERO_0001254>	<http://www.w3.org/2000/01/rdf-schema#label>	"Transport Service"@en	
<http://www.w3.org/2006/vcard/ns#Home>	<http://www.w3.org/2000/01/rdf-schema#label>	"Home"@en	
<http://vivoweb.org/ontology/core#Association>	<http://www.w3.org/2000/01/rdf-schema#label>	"Association"@en	
<http://purl.org/ontology/bibo/Magazine>	<http://www.w3.org/2000/01/rdf-schema#label>	"Magazine"@en	
<http://purl.obolibrary.org/obo/BFO_0000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"Site"@en	
<http://purl.obolibrary.org/obo/IAO_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"Datum Label"@en	
<http://www.w3.org/2006/vcard/ns#URL>	<http://www.w3.org/2000/01/rdf-schema#label>	"URL"@en	
<http://purl.org/ontology/bibo/Proceedings>	<http://www.w3.org/2000/01/rdf-schema#label>	"Proceedings"@en	
<http://www.w3.org/2006/vcard/ns#OrganizationUnitName>	<http://www.w3.org/2000/01/rdf-schema#label>	"Organizational Unit Name"@en	
<http://www.w3.org/2006/vcard/ns#Code>	<http://www.w3.org/2000/01/rdf-schema#label>	"Code"@en	
<http://www.w3.org/2006/vcard/ns#Calendar>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar"@en	
<http://purl.obolibrary.org/obo/PATO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"	
<http://vivoweb.org/ontology/core#Certificate>	<http://www.w3.org/2000/01/rdf-schema#label>	"Certificate"@en	
<http://vivoweb.org/ontology/core#Location>	<http://www.w3.org/2000/01/rdf-schema#label>	"Location"@en	
<http://vivoweb.org/ontology/core#MemberRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Member Role"@en	
<http://vivoweb.org/ontology/core#ConferencePaper>	<http://www.w3.org/2000/01/rdf-schema#label>	"Conference Paper"@en	
<http://purl.org/ontology/bibo/Collection>	<http://www.w3.org/2000/01/rdf-schema#label>	"Collection"@en	
<http://purl.org/ontology/bibo/LegalDecision>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decision"@en	
<http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 0 Clinical Trial"@en	
<http://vivoweb.org/ontology/core#GraduateAdvisingRelationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Graduate Advising Relationship"@en	
<http://purl.org/spar/fabio/ClinicalGuideline>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clinical Guideline"@en	
<http://purl.obolibrary.org/obo/ERO_0001260>	<http://www.w3.org/2000/01/rdf-schema#label>	"Data Maintenance Service"@en	
<http://purl.org/ontology/bibo/Interview>	<http://www.w3.org/2000/01/rdf-schema#label>	"Interview"@en	
<http://vivoweb.org/ontology/core#Campus>	<http://www.w3.org/2000/01/rdf-schema#label>	"Campus"@en	
<http://purl.org/ontology/bibo/Hearing>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hearing"@en	
<http://purl.org/ontology/bibo/Legislation>	<http://www.w3.org/2000/01/rdf-schema#label>	"Legislation"@en	
<http://www.w3.org/2006/vcard/ns#CalendarLink>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar Link"@en	
<http://www.w3.org/2006/vcard/ns#FormattedName>	<http://www.w3.org/2000/01/rdf-schema#label>	"Formatted Name"@en	
<http://vivoweb.org/ontology/core#Speech>	<http://www.w3.org/2000/01/rdf-schema#label>	"Speech"@en	
<http://vivoweb.org/ontology/core#ConferencePoster>	<http://www.w3.org/2000/01/rdf-schema#label>	"Conference Poster"@en	
<http://vivoweb.org/ontology/core#InvitedTalk>	<http://www.w3.org/2000/01/rdf-schema#label>	"Invited Talk"@en	
<http://vivoweb.org/ontology/core#LeaderRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Leader Role"@en	
<http://vivoweb.org/ontology/core#Award>	<http://www.w3.org/2000/01/rdf-schema#label>	"Award or Honor"@en	
<http://aims.fao.org/aos/geopolitical.owl#area>	<http://www.w3.org/2000/01/rdf-schema#label>	"Area"@en	
<http://purl.obolibrary.org/obo/ERO_0000778>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-US Citizen"@en	
<http://www.w3.org/2006/vcard/ns#Logo>	<http://www.w3.org/2000/01/rdf-schema#label>	"Logo"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"specifically dependent continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"Specifically Dependent Continuant"@en	
<http://purl.obolibrary.org/obo/ERO_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"Funding Role"@en	
